School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
McDonogh School,McDonogh School,Baltimore,4,10/13/2021,15:00:00+00
Mechanicsville Elementary School,Mechanicsville Elementary School,Carroll,3,10/13/2021,15:00:00+00
Middletown High School,Middletown High School,Frederick,7,10/13/2021,15:00:00+00
Monarch Global Academy,Monarch Global Academy,Anne Arundel,13,10/13/2021,15:00:00+00
Monocacy Valley Montessori Public Charter School,Monocacy Valley Montessori Public Charter School,Frederick,2,10/13/2021,15:00:00+00
Mother Mary Lange Catholic School,Mother Mary Lange Catholic School,Baltimore City,3,10/13/2021,15:00:00+00
Mount Airy Middle School,Mount Airy Middle School,Carroll,2,10/13/2021,15:00:00+00
Mount View Middle School,Mount View Middle School,Howard,5,10/13/2021,15:00:00+00
Mountain Ridge High School,Mountain Ridge High School,Allegany,24,10/13/2021,15:00:00+00
North Bend Elementary School,North Bend Elementary School,Harford,2,10/13/2021,15:00:00+00
North Caroline High School,North Caroline High School,Caroline,7,10/13/2021,15:00:00+00
North Dorchester High School,North Dorchester High School,Dorchester,21,10/13/2021,15:00:00+00
North Dorchester Middle School,North Dorchester Middle School,Dorchester,22,10/13/2021,15:00:00+00
North East Elementary School,North East Elementary School,Cecil,2,10/13/2021,15:00:00+00
Northeast Middle School,North East Middle School,Cecil,30,10/13/2021,15:00:00+00
North Hagerstown High School,North Hagerstown High School,Washington,4,10/13/2021,15:00:00+00
Northeast High School,Northeast High School,Anne Arundel,30,10/13/2021,15:00:00+00
Northeast Middle School,Northeast Middle School,Anne Arundel,19,10/13/2021,15:00:00+00
Northern Middle School,Northern Middle School,Washington,20,10/13/2021,15:00:00+00
Northwest Middle School,Northwest Middle School,Carroll,29,10/13/2021,15:00:00+00
Oakleigh Elementary School,Oakleigh Elementary School,Baltimore,2,10/13/2021,15:00:00+00
Oakville Elementary School,Oakville Elementary School,St. Mary's,7,10/13/2021,15:00:00+00
Oakwood Elementary School,Oakwood Elementary School,Anne Arundel,5,10/13/2021,15:00:00+00
Old Mill Middle School - North,Old Mill Middle School - North,Anne Arundel,14,10/13/2021,15:00:00+00
Old Mill Middle School - South,Old Mill Middle School - South,Anne Arundel,20,10/13/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Groves Elementary School,Frederick,15,10/13/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,32,10/13/2021,15:00:00+00
Patuxent Appeal Elementary School,Patuxent Appeal Elementary School,Calvert,2,10/13/2021,15:00:00+00
Perry Hall Christian School,Perry Hall Christian School,Baltimore,6,10/13/2021,15:00:00+00
Perryville High School,Perryville High School,Cecil,18,10/13/2021,15:00:00+00
Phelps Luck Elementary School,Phelps Luck Elementary School,Howard,9,10/13/2021,15:00:00+00
Pimlico Elementary Middle School,Pimlico Elementary Middle School,Baltimore City,12,10/13/2021,15:00:00+00
Piney Point Elementary School,Piney Point Elementary School,St. Mary's,39,10/13/2021,15:00:00+00
Pocomoke Elementary School,Pocomoke Elementary School,Worcester,7,10/13/2021,15:00:00+00
Pocomoke High School,Pocomoke High School,Worcester,6,10/13/2021,15:00:00+00
Point Pleasant Elementary School,Point Pleasant Elementary School,Anne Arundel,3,10/13/2021,15:00:00+00
Poolesville Elementary School,Poolesville Elementary School,Montgomery,4,10/13/2021,15:00:00+00
Pretty Boy Elementary,Pretty Boy Elementary,Baltimore,2,10/13/2021,15:00:00+00
Reservoir High School,Reservoir High School,Howard,7,10/13/2021,15:00:00+00
Ridge Elementary School,Ridge Elementary,St. Mary's,3,10/13/2021,15:00:00+00
Rising Sun Middle School,Rising Sun Middle School,Cecil,7,10/13/2021,15:00:00+00
Running Brook Elementary School,Running Brook Elementary School,Howard,4,10/13/2021,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,10,10/13/2021,15:00:00+00
Shiloh Middle School,Shiloh Middle School,Carroll,2,10/13/2021,15:00:00+00
Shiloh Middle School,Shiloh Middle School,Carroll,2,10/13/2021,15:00:00+00
Showell Elementary School,Showell Elementary School,Worcester,19,10/13/2021,15:00:00+00
Snow Hill Middle School,Snow Hill Middle School,Worcester,24,10/13/2021,15:00:00+00
Somerset Intermediate School,Somerset Intermediate School,Somerset,26,10/13/2021,15:00:00+00
South River High School,South River High School,Anne Arundel,2,10/13/2021,15:00:00+00
Spring Ridge Middle School,Spring Ridge Middle School,St. Mary's,42,10/13/2021,15:00:00+00
St. Charles High School,St. Charles High School,Charles,4,10/13/2021,15:00:00+00
St. Jerome Academy,St. Jerome Academy,Prince George's,20,10/13/2021,15:00:00+00
St. John the Evangelist Catholic School,St. John the Evangelist Catholic School,Baltimore,7,10/13/2021,15:00:00+00
St. Louis School,St. Louis School,Howard,3,10/13/2021,15:00:00+00
St. Mary's School,St. Mary's School,Charles,2,10/13/2021,15:00:00+00
St. Michael's Elementary School,St. Michaels Elementary School,Talbot,2,10/13/2021,15:00:00+00
St. Michael's Elementary School,St. Michael's School,St. Mary's,2,10/13/2021,15:00:00+00
St. Ursula Catholic School,St. Ursula Catholic School,Baltimore,36,10/13/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Wicomico,4,10/13/2021,15:00:00+00
Sudersville Middle School,Sudersville Middle School,Queen Anne's,6,10/13/2021,15:00:00+00
Sugarloaf Elementary School,Sugarloaf Elementary School,Frederick,3,10/13/2021,15:00:00+00
T.C. Martin Elementary School,T.C. Martin Elementary School,Charles,17,10/13/2021,15:00:00+00
Talbott Springs Elementary School,Talbott Spring Elementary School,Howard,4,10/13/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy,Baltimore,37,10/13/2021,15:00:00+00
The Arrow School of Education,The Arrow School of Education,Baltimore,3,10/13/2021,15:00:00+00
The Children's Guild School of Prince George's Campus,"The Children's Guild, Inc. - Prince George's Campus",Prince George's,9,10/13/2021,15:00:00+00
The Historic Cherry Hill Elementary and Middle School,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,10/13/2021,15:00:00+00
The John Carroll School,The John Carroll School,Harford,2,10/13/2021,15:00:00+00
Thomson Estates Elementary School,Thomson Estates Elementary School,Cecil,1,10/13/2021,15:00:00+00
Tuscarora Elementary School,Tuscarora Elementary School,Frederick,6,10/13/2021,15:00:00+00
Villa Maria School,Vila Maria School,Baltimore,6,10/13/2021,15:00:00+00
Walkersville Middle School,Walkersville Middle School,Frederick,7,10/13/2021,15:00:00+00
Washington High School,Washington High School,Somerset,17,10/13/2021,15:00:00+00
Wellwood International School,Wellwood International School,Baltimore,5,10/13/2021,15:00:00+00
West Friendship Elementary School,West Friendship Elementary School,Howard,3,10/13/2021,15:00:00+00
West Side Elementary School,West Side Elementary,Allegany,2,10/13/2021,15:00:00+00
Western Heights Middle,Western Heights Middle,Washington,24,10/13/2021,15:00:00+00
White Marsh Elementary School,White Marsh Elementary School,St. Mary's,4,10/13/2021,15:00:00+00
William Winchester Elementary School,William Winchester Elementary School,Carroll,2,10/13/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,31,10/13/2021,15:00:00+00
Windsor Farm Elementary School,Windsor Farm Elementary School,Anne Arundel,2,10/13/2021,15:00:00+00
Woodbridge Elementary School,Woodbridge Elementary,Baltimore,2,10/13/2021,15:00:00+00
Woodside Elementary School,Woodside Elementary School,Anne Arundel,2,10/13/2021,15:00:00+00
Yough Glades Elementary School,Yough Glades Elementary School,Garrett,5,10/13/2021,15:00:00+00
Allegany High School,Allegany High School,Allegany,29,10/20/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Alphabet Education Inc at Mary B Neal Elementary,Charles,2,10/20/2021,15:00:00+00
Annapolis Area Christian School - Lower School Annapolis,Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,10/20/2021,15:00:00+00
Annapolis Area Christian School - Lower School Severn,Annapolis Area Christian School - Lower School Severn,Anne Arundel,5,10/20/2021,15:00:00+00
Arbutus Middle School,Arbutus Middle School,Baltimore,3,10/20/2021,15:00:00+00
Arundel High School,Arundel High School,Anne Arundel,2,10/20/2021,15:00:00+00
Baltimore International Academy - East,Baltimore International Academy - East,Baltimore City,12,10/20/2021,15:00:00+00
Barstow Elementary School,Barstow Elementary School,Calvert,2,10/20/2021,15:00:00+00
Bel Air Elementary School,Bel Air Elementary School,Allegany,3,10/20/2021,15:00:00+00
Benjamin Foulois Creative & Performing Arts Academy,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/20/2021,15:00:00+00
Bodkin Elementary School,Bodkin Elementary School,Anne Arundel,4,10/20/2021,15:00:00+00
Braddock Middle School,Braddock Middle School,Allegany,24,10/20/2021,15:00:00+00
Brunswick Elementary School,Brunswick Elementary School,Frederick,4,10/20/2021,15:00:00+00
Buckingham Elementary School,Buckingham Elementary School,Worcester,11,10/20/2021,15:00:00+00
Captain Walter Francis Duke Middle School,Captain Walter Francis Duke Middle School,St. Mary's,14,10/20/2021,15:00:00+00
Cardinal Shehan School,Cardinal Shehan School,Baltimore City,6,10/20/2021,15:00:00+00
Career Center for Technical Education,Career Center for Technical Education,Allegany,30,10/20/2021,15:00:00+00
Carter G.  Woodson Elementary School,Carter G Woodson Elementary,Somerset,42,10/20/2021,15:00:00+00
Cash Valley Elementary School,Cash Valley Elementary School,Allegany,2,10/20/2021,15:00:00+00
Catoctin High School,Catoctin High School,Frederick,26,10/20/2021,15:00:00+00
Chesapeake Bay Middle School,Chesapeake Bay Middle School,Anne Arundel,15,10/20/2021,15:00:00+00
Chesapeake High School,Chesapeake High School,Anne Arundel,40,10/20/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Columbia Academy Elementary and Middle School,Howard,3,10/20/2021,15:00:00+00
Crisfield High School,Crisfield High School,Somerset,22,10/20/2021,15:00:00+00
Crofton High School,Crofton High School,Anne Arundel,16,10/20/2021,15:00:00+00
Deerfield Elementary School,Deerfield Elementary School,Harford,4,10/20/2021,15:00:00+00
Diamond Elementary School,Diamond Elementary School,Montgomery,3,10/20/2021,15:00:00+00
Dowell Elementary School,Dowell Elementary School,Calvert,3,10/20/2021,15:00:00+00
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,10/20/2021,15:00:00+00
Dr. Thomas L. Higdon Elementary School,Dr. Thomas L. Higdon Elementary School,Charles,4,10/20/2021,15:00:00+00
Dublin Elementary School,Dublin Elementary School,Harford,4,10/20/2021,15:00:00+00
Easton Elementary School,Easton Elementary School,Talbot,3,10/20/2021,15:00:00+00
Edgemere Elementary School,Edgemere Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Esperanza Middle School,Esperanza Middle School,St. Mary's,33,10/20/2021,15:00:00+00
Fallston High School,Fallston High School,Harford,2,10/20/2021,15:00:00+00
"Father Andrew White, S.J. School",Father Andrew White SJ School,St. Mary's,3,10/20/2021,15:00:00+00
Fort Hill High School,Fort Hill High School,Allegany,38,10/20/2021,15:00:00+00
Frank Hebron Harman Elementary,Frank Hebron Harman Elementary,Anne Arundel,3,10/20/2021,15:00:00+00
Franklin Square Elementary School,Franklin Square Elementary School,Baltimore City,5,10/20/2021,15:00:00+00
Friends School of Baltimore,Friends School,Baltimore City,41,10/20/2021,15:00:00+00
Garnet Elementary School,Garnet Elementary School,Kent,2,10/20/2021,15:00:00+00
Gilpin Manor Elementary School,Gilpin Manor Elementary School,Cecil,2,10/20/2021,15:00:00+00
Great Mills High School,Great Mills High School,St. Mary's,55,10/20/2021,15:00:00+00
Greenwood Elementary School,Greenwood Elementary School,Somerset,15,10/20/2021,15:00:00+00
Hancock Middle-Senior High School,Hancock Middle-Senior High School,Washington,8,10/20/2021,15:00:00+00
Havre de Grace Elementary School,Havre de Grace Elementary School,Harford,11,10/20/2021,15:00:00+00
Hickory Elementary School,Hickory Elementary School,Harford,4,10/20/2021,15:00:00+00
Hollywood Elementary School,Hollywood Elementary School,St. Mary's,6,10/20/2021,15:00:00+00
Homestead Wakefield Elementary School,Homestead Wakefield Elementary School,Harford,6,10/20/2021,15:00:00+00
Honeygo Elementary School,Honeygo Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Indian Creek School,Indian Creek School,Anne Arundel,4,10/20/2021,15:00:00+00
Joppatowne Elementary School,Joppatowne Elementary,Harford,4,10/20/2021,15:00:00+00
Kenwood High School,Kenwood High School,Baltimore,3,10/20/2021,15:00:00+00
Kings Christian Academy,Kings Christian Academy,St. Mary's,3,10/20/2021,15:00:00+00
La Plata High School,La Plata High School,Charles,8,10/20/2021,15:00:00+00
Leonardtown High School,Leonardtown High School,St. Mary's,72,10/20/2021,15:00:00+00
Leonardtown Middle School,Leonardtown Middle School,St. Mary's,22,10/20/2021,15:00:00+00
Lexington Park Elementary School,Lexington Park Elementary School,St. Mary's,2,10/20/2021,15:00:00+00
Logan Elementary School,Logan Elementary School,Baltimore,3,10/20/2021,15:00:00+00
Margaret Brent Middle School,Margaret Brent Middle School,St. Mary's,89,10/20/2021,15:00:00+00
Mattawoman Middle School,Mattawoman Middle School,Charles,5,10/20/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,4,10/20/2021,15:00:00+00
Middletown High School,Middletown High School,Frederick,8,10/20/2021,15:00:00+00
Mill Creek Middle School,Mill Creek Middle School,Calvert,3,10/20/2021,15:00:00+00
Monarch Global Academy,Monarch Global Academy,Anne Arundel,13,10/20/2021,15:00:00+00
Mother Mary Lange Catholic School,Mother Mary Lange Catholic School,Baltimore City,3,10/20/2021,15:00:00+00
Mount Airy Middle School,Mount Airy Middle School,Carroll,2,10/20/2021,15:00:00+00
Mountain Ridge High School,Mountain Ridge High School,Allegany,28,10/20/2021,15:00:00+00
North Bend Elementary School,North Bend Elementary School,Harford,2,10/20/2021,15:00:00+00
North Caroline High School,North Caroline High School,Caroline,7,10/20/2021,15:00:00+00
North Dorchester High School,North Dorchester High School,Dorchester,21,10/20/2021,15:00:00+00
North Dorchester Middle School,North Dorchester Middle School,Dorchester,24,10/20/2021,15:00:00+00
North East Elementary School,North East Elementary School,Cecil,2,10/20/2021,15:00:00+00
Northeast Middle School,North East Middle School,Cecil,34,10/20/2021,15:00:00+00
North Hagerstown High School,North Hagerstown High School,Washington,9,10/20/2021,15:00:00+00
Northeast High School,Northeast High School,Anne Arundel,30,10/20/2021,15:00:00+00
Northeast Middle School,Northeast Middle School,Anne Arundel,20,10/20/2021,15:00:00+00
Northern Middle School,Northern Middle School,Washington,23,10/20/2021,15:00:00+00
Northwest Middle School,Northwest Middle School,Carroll,29,10/20/2021,15:00:00+00
Oakland Mills Middle School,Oakland Mills Middle School,Howard,2,10/20/2021,15:00:00+00
Oakville Elementary School,Oakville Elementary School,St. Mary's,16,10/20/2021,15:00:00+00
Odenton Elementary School,Odenton Elementary School,Anne Arundel,2,10/20/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Groves Elementary School,Frederick,17,10/20/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,33,10/20/2021,15:00:00+00
Parkville Middle School,Parkville Middle School,Baltimore,3,10/20/2021,15:00:00+00
Patuxent Appeal Elementary School,Patuxent Appeal Elementary School,Calvert,3,10/20/2021,15:00:00+00
Perryville High School,Perryville High School,Cecil,22,10/20/2021,15:00:00+00
Perryville Middle School,Perryville Middle School,Cecil,7,10/20/2021,15:00:00+00
Pimlico Elementary Middle School,Pimlico Elementary Middle School,Baltimore City,12,10/20/2021,15:00:00+00
Piney Point Elementary School,Piney Point Elementary School,St. Mary's,42,10/20/2021,15:00:00+00
Pocomoke High School,Pocomoke High School,Worcester,6,10/20/2021,15:00:00+00
Poolesville Elementary School,Poolesville Elementary School,Montgomery,4,10/20/2021,15:00:00+00
Ridge Elementary School,Ridge Elementary School,St. Mary's,3,10/20/2021,15:00:00+00
Route 40 Elementary School,Route 40 Elementary School,Garrett,3,10/20/2021,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,10,10/20/2021,15:00:00+00
Shady Spring Elementary School,Shady Spring Elementary School,Baltimore,11,10/20/2021,15:00:00+00
Shiloh Middle School,Shiloh Middle School,Carroll,2,10/20/2021,15:00:00+00
Shiloh Middle School,Shiloh Middle School,Carroll,2,10/20/2021,15:00:00+00
Showell Elementary School,Showell Elementary School,Worcester,21,10/20/2021,15:00:00+00
Silver Oak Academy,Silver Oak Academy,Carroll,6,10/20/2021,15:00:00+00
Snow Hill Middle School,Snow Hill Middle School,Worcester,25,10/20/2021,15:00:00+00
Somerset Intermediate School,Somerset Intermediate School,Somerset,29,10/20/2021,15:00:00+00
South River High School,South River High School,Anne Arundel,2,10/20/2021,15:00:00+00
South-Dorchester K-8,South-Dorchester K-8,Dorchester,3,10/20/2021,15:00:00+00
Southern High School,Southern High School,Anne Arundel,3,10/20/2021,15:00:00+00
Southern Middle School,Southern Middle School,Anne Arundel,16,10/20/2021,15:00:00+00
Sparrows Point Middle School,Sparrows Point Middle School,Baltimore,2,10/20/2021,15:00:00+00
Spring Ridge Middle School,Spring Ridge Middle School,St. Mary's,49,10/20/2021,15:00:00+00
St. Charles High School,St. Charles High School,Charles,22,10/20/2021,15:00:00+00
St. Jerome Academy,St. Jerome Academy,Prince George's,20,10/20/2021,15:00:00+00
St. John the Evangelist Catholic School,St. John the Evangelist Catholic School,Baltimore,7,10/20/2021,15:00:00+00
St. Louis School,St. Louis School,Howard,3,10/20/2021,15:00:00+00
St. Mary's School,St. Mary's School,Charles,2,10/20/2021,15:00:00+00
St. Michael's Elementary School,St. Michaels Elementary School,Talbot,2,10/20/2021,15:00:00+00
St. Michael's Elementary School,St. Michael's School,St. Mary's,2,10/20/2021,15:00:00+00
St. Ursula Catholic School,St. Ursula Catholic School,Baltimore,39,10/20/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,4,10/20/2021,15:00:00+00
Sudersville Middle School,Sudersville Middle School,Queen Anne's,9,10/20/2021,15:00:00+00
Summit Park Elementary,Summit Park Elementary,Baltimore,7,10/20/2021,15:00:00+00
Sussex Elementary School,Sussex Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Talbott Springs Elementary School,Talbott Spring Elementary School,Howard,4,10/20/2021,15:00:00+00
The Children's Guild School of Prince George's Campus,"The Children's Guild, Inc. - Prince George's Campus",Prince George's,12,10/20/2021,15:00:00+00
Thomson Estates Elementary School,Thomson Estates Elementary School,Cecil,4,10/20/2021,15:00:00+00
Town Creek Elementary School,Town Creek Elementary School,St. Mary's,2,10/20/2021,15:00:00+00
Villa Cresta Elementary School,Villa Cresta Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Villa Maria School,Villa Maria School,Baltimore,8,10/20/2021,15:00:00+00
Walkersville Middle School,Walkersville Middle School,Frederick,14,10/20/2021,15:00:00+00
Washington High School,Washington High School,Somerset,18,10/20/2021,15:00:00+00
West Side Elementary School,West Side Elementary School,Allegany,2,10/20/2021,15:00:00+00
Western Heights Middle,Western Heights Middle School,Washington,27,10/20/2021,15:00:00+00
White Marsh Elementary School,White Marsh Elementary School,St. Mary's,7,10/20/2021,15:00:00+00
Wiley H. Bates Middle School,Wiley H. Bates Middle School,Anne Arundel,2,10/20/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,32,10/20/2021,15:00:00+00
Winand Elementary School,Winand Elementary School,Baltimore,4,10/20/2021,15:00:00+00
Windsor Farm Elementary School,Windsor Farm Elementary School,Anne Arundel,2,10/20/2021,15:00:00+00
Woodbridge Elementary School,Woodbridge Elementary School,Baltimore,4,10/20/2021,15:00:00+00
Yough Glades Elementary School,Yough Glades Elementary School,Garrett,5,10/20/2021,15:00:00+00
